price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
25107300,"Москва, ЦАО, р-н Пресненский, Шелепихинское ш.",Шелепиха,18,51,45.9,16.4,unknown,2024,Без отделки,3.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/306796067/
250000000,"Москва, ЦАО, р-н Хамовники, 2-я Фрунзенская ул., 8",Фрунзенская,7,11,170.0,unknown,19.0,2012,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304329823/
23676000,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,5,49,59.19,24.2,unknown,2027,Предчистовая,3.12,unknown,Новостройка,https://www.cian.ru/sale/flat/296640150/
250000000,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",Серпуховская,7,13,202.0,130.0,25.0,2012,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304329838/
21804000,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",Алексеевская,16,26,47.4,35.6,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/306567973/
292664681,"Москва, ЦАО, р-н Хамовники, ул. Остоженка, 11",Кропоткинская,4,6,219.4,48.1,95.0,2012,Без ремонта,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304329836/
15123041,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к11",Трикотажная,2,27,39.52,21.4,unknown,2027,Предчистовая,2.85,Во двор,Новостройка,https://www.cian.ru/sale/flat/306514766/
239990000,"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к2",Улица 1905 года,2,17,242.0,unknown,unknown,2017,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330080/
18374400,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,34,49,38.28,11.8,unknown,2027,Предчистовая,3.12,unknown,Новостройка,https://www.cian.ru/sale/flat/302789697/
97000000,"Москва, ЦАО, р-н Тверской, Газетный пер., 13С1",Охотный ряд,4,13,114.3,69.9,18.2,1956,Дизайнерский,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/305932404/
32717642,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",Шелепиха,3,41,84.73,34.3,unknown,2024,Без отделки,3.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/306467503/
79000000,"Москва, ЦАО, р-н Тверской, ул. Палиха, 4",Менделеевская,2,10,69.4,unknown,unknown,2019,Дизайнерский,4.35,Во двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/302081797/
31260300,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,5,49,79.14,36.7,unknown,2027,Предчистовая,3.12,unknown,Новостройка,https://www.cian.ru/sale/flat/296640175/
