price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
18374400,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",55.8025300783107,37.62094537252544,Марьина Роща,34,49,38.28,11.8,unknown,2027,Предчистовая,3.12,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/302789697/
49954800,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5с1",55.752541,37.635727,Китай,7,8,53.2,unknown,24.1,2022,Евроремонт,3.0,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/301496936/
8170000,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к4",55.552637,37.337172,Филатов Луг,2,5,31.0,unknown,10.0,2021,Дизайнерский,3.0,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303552909/
20206500,"Москва, СВАО, р-н Останкинский, ул. Годовикова, 11к5",55.810466,37.624247,Алексеевская,34,37,28.5,21.4,unknown,2024,"Без отделки, предчистовая, чистовая",3.01,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306568424/
17119620,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 26",55.70659736274,37.6322846801478,Тульская,6,20,38.82,10.6,18.6,2024,unknown,2.85,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305679800/
7550000,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к14",55.551456,37.339499,Филатов Луг,2,5,30.0,15.0,9.0,2021,Дизайнерский,2.8,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306451520/
14757511,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к6",55.829921,37.406711,Трикотажная,2,27,40.1,12.9,unknown,2027,Предчистовая,2.85,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306515308/
36000000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,5,40,40.0,unknown,unknown,2021,Дизайнерский,3.2,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304681968/
9000000,"Москва, НАО (Новомосковский), Внуковское поселение, ул. Летчика Грицевца, 7",55.62301,37.307411,Пыхтино,4,17,37.1,unknown,7.3,2013,Косметический,unknown,На улицу,Панельный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306808870/
5994720,"Московская область, Одинцовский городской округ, Перхушково село, Равновесие микрорайон",55.6538848796601,37.1203557553635,Толстопальцево,2,6,36.2,13.8,unknown,2026,"Без отделки, предчистовая, черновая, чистовая",2.7,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://odintsovo.cian.ru/sale/flat/301555506/
28100000,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",55.770806,37.564212,Улица 1905 года,2,44,57.0,44.0,8.0,2018,Дизайнерский,unknown,На улицу,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/298880305/
