iter	Passed	Remaining
0	92	12519
1	126	8469
2	156	6960
3	187	6193
4	217	5687
5	242	5261
6	269	4975
7	300	4806
8	329	4642
9	359	4531
10	392	4457
11	424	4389
12	452	4280
13	485	4228
14	521	4210
15	554	4162
16	587	4114
17	618	4056
18	652	4015
19	686	3981
20	718	3935
21	743	3851
22	774	3805
23	802	3744
24	829	3684
25	859	3637
26	888	3586
27	911	3514
28	932	3441
29	955	3374
30	976	3308
31	1000	3250
32	1019	3182
33	1041	3124
34	1062	3065
35	1084	3013
36	1103	2953
37	1128	2910
38	1158	2881
39	1217	2922
40	1283	2973
41	1342	3004
42	1365	2954
43	1389	2904
44	1411	2855
45	1435	2809
46	1456	2758
47	1479	2712
48	1501	2666
49	1520	2614
50	1540	2566
51	1561	2523
52	1585	2483
53	1608	2442
54	1632	2403
55	1655	2365
56	1677	2324
57	1701	2288
58	1721	2247
59	1745	2210
60	1766	2171
61	1788	2134
62	1810	2098
63	1830	2059
64	1852	2023
65	1871	1985
66	1896	1953
67	1921	1921
68	1943	1886
69	1966	1854
70	1988	1820
71	2014	1790
72	2037	1757
73	2057	1723
74	2083	1694
75	2109	1665
76	2132	1634
77	2155	1603
78	2182	1574
79	2205	1543
80	2233	1516
81	2260	1488
82	2288	1461
83	2317	1434
84	2343	1406
85	2369	1377
86	2392	1347
87	2417	1318
88	2444	1290
89	2470	1262
90	2499	1236
91	2527	1208
92	2554	1181
93	2580	1153
94	2605	1124
95	2634	1097
96	2659	1069
97	2684	1040
98	2711	1013
99	2739	986
100	2767	959
101	2792	930
102	2818	902
103	2844	875
104	2870	847
105	2896	819
106	2923	792
107	2950	764
108	2977	737
109	3004	710
110	3029	682
111	3057	655
112	3082	627
113	3109	600
114	3135	572
115	3163	545
116	3190	518
117	3218	490
118	3244	463
119	3274	436
120	3301	409
121	3327	381
122	3357	354
123	3392	328
124	3438	302
125	3470	275
126	3497	247
127	3526	220
128	3552	192
129	3579	165
130	3602	137
131	3626	109
132	3653	82
133	3679	54
134	3707	27
135	3734	0
