price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
25107300,"Москва, ЦАО, р-н Пресненский, Шелепихинское ш.",Шелепиха,18,51,45.9,16.4,unknown,2024,Без отделки,3.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/306796067/
130000000,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 15А",Спортивная,9,14,110.0,45.0,20.0,2022,Без ремонта,unknown,На улицу,Вторичка,https://www.cian.ru/sale/flat/304330115/
310361512,"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 1к1",Давыдково,26,31,246.7,140.9,28.0,2008,Дизайнерский,3.1,unknown,Вторичка,https://www.cian.ru/sale/flat/301450189/
23676000,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,5,49,59.19,24.2,unknown,2027,Предчистовая,3.12,unknown,Новостройка,https://www.cian.ru/sale/flat/296640150/
131000000,"Москва, ЦАО, р-н Пресненский, Лаки жилой квартал",Улица 1905 года,6,21,114.0,40.9,35.0,unknown,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330219/
3557152000,"Москва, ЦАО, р-н Хамовники, Бутиковский пер., 3",Парк Культуры,6,6,490.0,unknown,20.0,2004,Дизайнерский,3.2,unknown,Вторичка / Пентхаус,https://www.cian.ru/sale/flat/306510579/
21804000,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",Алексеевская,16,26,47.4,35.6,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/306567973/
239990000,"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к2",Улица 1905 года,2,17,242.0,unknown,unknown,2017,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330080/
19500000,"Москва, ВАО, р-н Северное Измайлово, 16-я Парковая ул., 49К2",Щёлковская,4,9,61.6,39.3,6.7,1967,Евроремонт,2.5,На улицу,Вторичка,https://www.cian.ru/sale/flat/305913440/
15123041,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к11",Трикотажная,2,27,39.52,21.4,unknown,2027,Предчистовая,2.85,Во двор,Новостройка,https://www.cian.ru/sale/flat/306514766/
182000000,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 13",Спортивная,6,12,114.1,56.6,17.0,2021,Без ремонта,unknown,На улицу,Вторичка,https://www.cian.ru/sale/flat/304330096/
18500000,"Москва, ЗАО, р-н Тропарево-Никулино, ул. 26 Бакинских Комиссаров, 8к3",Юго,8,9,44.8,unknown,6.5,1970,Дизайнерский,2.64,unknown,Вторичка,https://www.cian.ru/sale/flat/306771748/
18116520,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,20,49,40.62,12.2,unknown,2027,Предчистовая,3.1,unknown,Новостройка,https://www.cian.ru/sale/flat/305005720/
182000000,"Москва, 1-й Зачатьевский пер., 5",Парк Культуры,2,8,184.6,unknown,16.0,2005,Без ремонта,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330043/
82450000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к1",Серпуховская,2,22,134.5,80.0,45.0,2020,Дизайнерский,2.7,На улицу,Вторичка,https://www.cian.ru/sale/flat/305430394/
32717642,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",Шелепиха,3,41,84.73,34.3,unknown,2024,Без отделки,3.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/306467503/
229569698,"Москва, ул. Остоженка, 11",Кропоткинская,4,6,172.1,40.2,69.4,2012,Без ремонта,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330039/
10000000,"Московская область, Красногорск, мкр. Павшинская пойма, бул. Красногорский, 46",Мякинино,15,20,38.0,18.0,9.5,2014,Евроремонт,unknown,Во двор,Вторичка,https://krasnogorsk.cian.ru/sale/flat/305577968/
31260300,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",Марьина Роща,5,49,79.14,36.7,unknown,2027,Предчистовая,3.12,unknown,Новостройка,https://www.cian.ru/sale/flat/296640175/
97000000,"Москва, ЦАО, р-н Тверской, Газетный пер., 13С1",Охотный ряд,4,13,114.3,69.9,18.2,1956,Дизайнерский,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/305932404/
35000000,"Москва, ЦАО, р-н Пресненский, Зоологическая ул., 30С2",Баррикадная,3,15,95.0,65.0,20.0,2000,Евроремонт,unknown,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/300871845/
20206500,"Москва, СВАО, р-н Останкинский, ул. Годовикова, 11к5",Алексеевская,34,37,28.5,21.4,unknown,2024,"Без отделки, предчистовая, чистовая",3.01,На улицу,Новостройка,https://www.cian.ru/sale/flat/306568424/
