price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
35632405,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к9",55.7532072934131,37.5258538337976,Шелепиха,12,14,75.47,39.2,unknown,2024,Без отделки,3.1,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306697779/
78800000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к1",55.722948,37.616225,Серпуховская,2,22,134.5,80.0,45.0,2020,Дизайнерский,2.7,На улицу,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305430394/
67000000,"Москва, ЦАО, р-н Тверской, Тверская ул., 27С2",55.768653,37.597549,Маяковская,6,7,127.1,70.7,9.8,1902,Косметический,unknown,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/301064989/
35978400,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",55.809581890759326,37.62400151087382,Алексеевская,20,26,78.9,59.2,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306567974/
31500000,"Москва, ЗАО, р-н Фили-Давыдково, ул. Ивана Франко, 6",55.727841,37.450872,Кунцевская,20,29,92.9,59.2,8.4,2022,Без ремонта,3.0,На улицу,unknown,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303533444/
150000000,"Москва, ЦАО, р-н Хамовники, Большой Афанасьевский пер., 11-13",55.746208,37.596821,Кропоткинская,17,17,157.0,114.0,24.1,1967,Дизайнерский,unknown,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/295989074/
34426313,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к1",55.82976,37.407546,Трикотажная,36,48,94.69,43.1,unknown,2027,Предчистовая,2.85,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306515743/
78000000,"Москва, САО, р-н Хорошевский, ул. Гризодубовой, 2",55.782572,37.531936,ЦСКА,21,23,244.1,unknown,unknown,2007,Косметический,3.0,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/293126875/
39500000,"Москва, ЦАО, р-н Арбат, 1-й Николощеповский пер., 20/4",55.748782,37.577561,Смоленская,2,5,87.0,62.0,9.0,1931,Евроремонт,3.0,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/302659435/
10807448,"Московская область, Одинцовский городской округ, Перхушково село, Равновесие микрорайон, 5",55.653294,37.12481,Толстопальцево,5,6,70.6,46.8,unknown,2024,"Без отделки, предчистовая, черновая, чистовая",2.7,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://odintsovo.cian.ru/sale/flat/285450899/
250000000,"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",55.781626,37.580894,Белорусская,6,6,324.5,unknown,unknown,2016,Дизайнерский,unknown,На улицу,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/288460497/
170000000,"Москва, ЮЗАО, р-н Ясенево, Новоясеневский просп., 9",55.608816,37.535403,Ясенево,21,23,143.3,124.2,14.1,2014,Дизайнерский,2.9,unknown,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305864484/
328184010,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к1",55.7612846731082,37.5573009849619,Улица 1905 года,18,21,234.3,unknown,27.1,2023,"Чистовая, чистовая с мебелью",3.0,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,VESPER,https://www.cian.ru/sale/flat/306541543/
74500000,"Москва, ЦАО, р-н Басманный, наб. Академика Туполева, 15",55.760692,37.68217,Бауманская,6,8,190.3,130.0,25.0,2008,Без ремонта,3.5,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305951087/
39900000,"Москва, ЮВАО, р-н Лефортово, ул. Крузенштерна, 10к1",55.751447,37.703775,Авиамоторная,9,29,79.5,48.5,7.1,2022,Дизайнерский,2.8,На улицу,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/297721781/
52577000,"Москва, ЮЗАО, р-н Котловка, Новые Академики жилой комплекс, 31/2",55.6736187382783,37.5816946613751,Профсоюзная,4,7,107.3,69.5,6.6,2027,Без отделки,3.2,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Главстрой,https://www.cian.ru/sale/flat/303967908/
