price,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,accomodation_type,author,room_count,floor_ratio,room_ratio,living_ratio,kitchen_ratio
18374400,55.8025300783107,37.62094537252544,Марьина Роща,34,49,38.28,11.8,10.23,2027,Предчистовая,3.12,unknown,Монолитно-кирпичный,unknown,unknown,Новостройка,КОРТРОС,1,0.6938775510204082,38.28,0.30825496342737724,0.2672413793103448
8170000,55.552637,37.337172,Аэропорт Внуково,2,5,31.0,14.61,10.0,2021,Дизайнерский,3.0,Во двор,unknown,unknown,Нет,Вторичка,unknown,1,0.4,31.0,0.4712903225806451,0.3225806451612903
20206500,55.810466,37.624247,Алексеевская,34,37,28.5,21.4,7.62,2024,Без отделки,3.01,На улицу,Монолитно-кирпичный,unknown,unknown,Новостройка,КОРТРОС,1,0.918918918918919,28.5,0.7508771929824561,0.2673684210526316
17119620,55.70659736274,37.6322846801478,Тульская,6,20,38.82,10.6,18.6,2024,unknown,2.85,Во двор,Монолитный,unknown,unknown,Новостройка,unknown,1,0.3,38.82,0.27305512622359607,0.4791344667697064
7550000,55.551456,37.339499,Филатов луг,2,5,30.0,15.0,9.0,2021,Дизайнерский,2.8,Во двор,unknown,unknown,Нет,Вторичка,unknown,1,0.4,30.0,0.5,0.3
14757511,55.829921,37.406711,Трикотажная,2,27,40.1,12.9,10.72,2027,Предчистовая,2.85,Во двор,Монолитно-кирпичный,unknown,unknown,Новостройка,MR Group,1,0.07407407407407407,40.1,0.32169576059850374,0.2673316708229426
9000000,55.62301,37.307411,Пыхтино,4,17,37.1,17.49,7.3,2013,Косметический,3.1,На улицу,Панельный,Индивидуальный тепловой пункт,Нет,Вторичка,unknown,1,0.23529411764705882,37.1,0.47142857142857136,0.1967654986522911
5994720,55.6538848796601,37.1203557553635,Толстопальцево,2,6,36.2,13.8,9.68,2026,Без отделки,2.7,unknown,Монолитно-кирпичный,unknown,unknown,Новостройка,КОРТРОС,1,0.3333333333333333,36.2,0.38121546961325964,0.26740331491712704
10800000,55.702313,37.640632,Автозаводская,3,4,45.0,21.21,10.0,-1000,Дизайнерский,3.1,Во двор,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,1,0.75,45.0,0.4713333333333333,0.2222222222222222
11900000,55.877788,37.613566,Бибирево,8,17,37.0,19.0,7.1,2011,Косметический,2.74,На улицу и двор,Панельный,Автономная котельная,Нет,Вторичка,unknown,1,0.47058823529411764,37.0,0.5135135135135135,0.19189189189189187
14990000,55.727192,37.735746,Нижегородская,24,25,39.0,18.38,16.0,2023,Дизайнерский,2.6,На улицу и двор,unknown,unknown,Нет,Вторичка,unknown,1,0.96,39.0,0.47128205128205125,0.41025641025641024
27000000,55.764496,37.51149,Шелепиха,6,42,42.0,17.0,11.0,2023,Дизайнерский,3.2,Во двор,unknown,unknown,Нет,Вторичка,unknown,1,0.14285714285714285,42.0,0.40476190476190477,0.2619047619047619
25499999,55.772943,37.472899,Народное Ополчение,10,21,45.5,15.2,14.9,2023,Косметический,3.0,Во двор,Монолитный,unknown,unknown,Вторичка / Апартаменты,unknown,1,0.47619047619047616,45.5,0.33406593406593404,0.3274725274725275
17650549,55.6739946442631,37.581941424605,Нахимовский проспект,2,8,35.92,20.9,5.1,2027,Без отделки,3.4,unknown,Монолитный,unknown,unknown,Новостройка,Главстрой,1,0.25,35.92,0.58184855233853,0.14198218262806234
20268000,55.766997,37.501753,Народное Ополчение,32,43,37.2,15.7,13.7,2023,Без ремонта,3.15,На улицу и двор,unknown,unknown,Нет,Вторичка,unknown,1,0.7441860465116279,37.2,0.42204301075268813,0.36827956989247307
20884900,55.7767727415349,37.6924907546307,Бауманская,2,27,45.7,26.8,7.8,2026,Без отделки,3.25,Во двор,Монолитно-кирпичный,unknown,unknown,Новостройка,unknown,1,0.07407407407407407,45.7,0.5864332603938731,0.17067833698030632
16500000,55.817264,37.63102,ВДНХ,6,12,38.0,19.0,11.0,1967,Дизайнерский,2.65,Во двор,Блочный,Центральное,Нет,Вторичка,unknown,1,0.5,38.0,0.5,0.2894736842105263
20800000,55.7173634696842,37.6364943993748,Серпуховская,29,42,38.1,13.1,14.7,2024,unknown,3.0,На улицу,Монолитный,unknown,unknown,Новостройка,unknown,1,0.6904761904761905,38.1,0.3438320209973753,0.3858267716535433
18560670,55.78928892619544,37.34223375401157,Опалиха,3,7,41.7,14.2,15.2,2026,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,Новостройка,Рублево-Архангельское,1,0.42857142857142855,41.7,0.3405275779376498,0.36450839328537166
25000000,55.754061,37.524722,Шелепиха,19,32,32.2,15.18,8.61,2019,Дизайнерский,3.0,На улицу и двор,Монолитный,Центральное,Нет,Вторичка,unknown,1,0.59375,32.2,0.47142857142857136,0.26739130434782604
18500000,55.6560485847175,37.5223552771048,Калужская,28,47,34.4,18.5,8.2,2024,Чистовая,3.1,На улицу и двор,Монолитный,unknown,unknown,Новостройка,unknown,1,0.5957446808510638,34.4,0.5377906976744187,0.2383720930232558
23508375,55.789558187273,37.3438052008762,Павшино,4,12,45.87,13.4,15.1,2024,Без отделки,3.83,unknown,Монолитный,unknown,unknown,Новостройка,Рублево-Архангельское,1,0.3333333333333333,45.87,0.29212993241770224,0.329191192500545
12990000,55.734207,37.679978,Пролетарская,1,12,38.9,21.0,9.0,1978,Косметический,3.1,Во двор,unknown,Центральное,Нет,Вторичка,unknown,1,0.08333333333333333,38.9,0.5398457583547558,0.23136246786632392
13843599,55.728900591784566,37.43294646961893,Кунцевская,2,44,31.61,9.4,11.9,2027,Без отделки,2.92,unknown,Монолитный,unknown,unknown,Новостройка,unknown,1,0.045454545454545456,31.61,0.2973742486554888,0.37646314457450175
13500000,55.685274,37.483041,Мичуринский проспект,1,16,37.5,21.0,8.9,1981,Евроремонт,2.64,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.0625,37.5,0.56,0.23733333333333334
19000000,55.6560485847175,37.5223552771048,Беляево,4,46,39.7,9.6,15.9,2024,Чистовая,3.1,unknown,Монолитный,unknown,unknown,Новостройка,unknown,1,0.08695652173913043,39.7,0.24181360201511332,0.4005037783375315
